球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ZOZOマリン,.296,17,56,54,8,16,0,0,7,37,19,23,2,0,0,0,0,0,1,0,.321,.685,1.007
みずほPayPay,.000,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
エスコンＦ,.333,3,10,9,1,3,1,0,0,4,2,2,1,0,0,0,0,0,0,0,.400,.444,0.844
楽天モバイル,.308,4,13,13,1,4,0,0,0,4,1,3,0,0,0,0,0,0,0,0,.308,.308,0.615
京セラD大阪,.364,4,11,11,1,4,1,0,0,5,1,3,0,0,0,0,0,0,0,0,.364,.455,0.818
ベルーナドーム,.000,4,12,10,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,.167,.000,0.167
Pa その他,.000,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.000,.000,0.0
東京ドーム,.000,1,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.000,.000,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
