条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.250,14,12,3,0,0,0,0,1,0,1,0,.308
1-0より,.571,7,7,4,0,0,0,0,0,0,0,0,.571
2-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.000
0-1より,.167,6,6,1,1,0,0,0,0,0,0,0,.167
1-1より,.286,7,7,2,1,0,1,0,0,0,0,0,.286
2-1より,.250,4,4,1,1,0,0,0,0,0,0,0,.250
3-1より,1.000,5,1,1,1,0,0,0,2,1,0,1,.800
0-2より,.250,4,4,1,0,0,0,1,0,0,0,0,.250
1-2より,.273,11,11,3,0,0,0,5,0,0,0,0,.273
2-2より,.133,15,15,2,0,0,0,7,0,0,0,0,.133
3-2より,.091,15,11,1,0,0,0,4,4,0,0,0,.333
