条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.390,63,59,23,6,1,3,0,0,0,4,0,0.39
1-0より,.342,40,38,13,2,0,0,0,0,1,0,1,0.35
2-0より,.231,13,13,3,1,0,0,0,0,0,0,0,0.231
3-0より,-,5,0,0,0,0,0,0,5,0,0,0,1.0
0-1より,.234,49,47,11,4,0,1,0,0,0,1,1,0.229
1-1より,.289,40,38,11,2,0,2,0,0,1,1,0,0.308
2-1より,.533,15,15,8,2,0,0,0,0,0,0,0,0.533
3-1より,.214,22,14,3,1,0,0,0,8,0,0,0,0.5
0-2より,.116,44,43,5,1,0,0,19,0,1,0,0,0.136
1-2より,.172,91,87,15,1,0,0,39,0,4,0,0,0.209
2-2より,.239,92,92,22,5,1,1,25,0,0,0,0,0.239
3-2より,.375,56,40,15,3,0,1,9,15,0,0,1,0.536
