条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.412,23,17,7,0,0,0,0,0,0,6,0,0.412
1-0より,.357,17,14,5,0,0,0,0,0,0,2,1,0.333
2-0より,.000,3,3,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.261,24,23,6,1,0,0,0,0,1,0,0,0.292
1-1より,.357,15,14,5,0,0,0,0,0,1,0,0,0.4
2-1より,.250,8,8,2,0,0,0,0,0,0,0,0,0.25
3-1より,.500,6,2,1,0,0,0,0,4,0,0,0,0.833
0-2より,.150,20,20,3,0,0,0,8,0,0,0,0,0.15
1-2より,.219,33,32,7,1,0,0,11,0,1,0,0,0.242
2-2より,.296,27,27,8,0,0,0,4,0,0,0,0,0.296
3-2より,.167,24,18,3,0,0,0,10,6,0,0,0,0.375
