条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.091,30,22,2,0,0,0,0,1,3,3,1,0.222
1-0より,0.2,22,20,4,1,1,0,0,1,0,1,0,0.238
2-0より,0.6,5,5,3,0,0,1,0,0,0,0,0,0.6
3-0より,0.0,6,2,0,0,0,0,0,4,0,0,0,0.667
0-1より,0.286,21,21,6,0,0,0,0,0,0,0,0,0.286
1-1より,0.182,12,11,2,0,0,0,0,0,0,1,0,0.182
2-1より,0.1,10,10,1,0,1,0,0,0,0,0,0,0.1
3-1より,0.222,13,9,2,0,1,0,0,4,0,0,0,0.462
0-2より,0.222,18,18,4,1,0,0,8,0,0,0,0,0.222
1-2より,0.154,41,39,6,0,0,1,22,0,2,0,0,0.195
2-2より,0.217,23,23,5,0,1,1,7,0,0,0,0,0.217
3-2より,0.1,26,20,2,1,0,0,10,6,0,0,0,0.308
