球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ZOZOマリン,2.93,27,0,27,0,2,9,7,9,7,0,2,27.2,22,1,26,8,1,10,9,1.08,0.212,-,2.77
みずほPayPay,0.00,2,0,2,0,0,2,0,2,0,0,0,2.0,2,0,2,0,1,0,0,1.0,0.333,-,99.00
エスコンＦ,1.93,4,0,4,0,1,2,1,2,1,0,1,4.2,2,0,4,1,0,1,1,0.64,0.118,-,4.67
楽天モバイル,0.00,3,0,3,0,0,2,1,2,1,0,0,2.1,1,0,3,1,1,0,0,0.86,0.143,-,99.00
京セラD大阪,2.16,5,1,4,1,1,0,2,0,2,0,1,8.1,5,1,4,2,0,2,2,0.84,0.172,9.00,1.67
ベルーナドーム,2.25,3,0,3,0,0,0,1,0,1,0,0,4.0,4,1,1,1,1,1,1,1.25,0.286,-,4.00
Pa その他,0.00,2,0,2,0,0,2,0,2,0,0,0,2.1,0,0,1,2,0,0,0,0.86,0.0,-,99.00
東京ドーム,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,1.0,0.25,-,99.00
甲子園,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,0,0,1,0,0,0,0,0.0,0.0,-,99.00
横浜,0.00,2,0,2,1,0,1,0,2,1,1,0,3.0,0,0,5,1,1,0,0,0.33,0.0,-,99.00
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
