条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.361,44,36,13,5,0,1,0,2,4,2,0,0.452
1-0より,.326,48,46,15,3,0,1,0,0,1,1,0,0.34
2-0より,.300,10,10,3,1,0,0,0,0,0,0,0,0.3
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.183,61,60,11,1,0,0,0,0,0,0,1,0.18
1-1より,.405,37,37,15,3,0,1,0,0,0,0,0,0.405
2-1より,.360,25,25,9,2,0,1,0,0,0,0,0,0.36
3-1より,.500,10,2,1,0,0,0,0,8,0,0,0,0.9
0-2より,.192,52,52,10,1,0,0,20,0,0,0,0,0.192
1-2より,.158,59,57,9,0,0,0,19,0,2,0,0,0.186
2-2より,.196,57,56,11,0,0,0,18,0,0,0,1,0.193
3-2より,.273,40,33,9,0,0,1,10,7,0,0,0,0.4
