球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ZOZOマリン,.262,57,214,202,16,53,7,0,3,69,21,32,6,1,4,2,0,0,0,1,.297,.342,0.639
みずほPayPay,.160,7,27,25,0,4,2,0,0,6,1,6,2,0,0,0,0,0,0,2,.222,.240,0.462
エスコンＦ,.216,13,53,51,3,11,0,0,0,11,1,9,1,0,0,1,0,0,0,0,.231,.216,0.446
楽天モバイル,.308,10,28,26,3,8,1,0,2,15,3,4,1,0,0,0,1,0,0,0,.321,.577,0.898
京セラD大阪,.280,7,29,25,5,7,0,0,0,7,1,6,3,1,0,0,1,0,0,0,.345,.280,0.625
ベルーナドーム,.273,6,24,22,0,6,2,0,0,8,2,3,2,0,0,0,0,0,0,0,.333,.364,0.697
Pa その他,.389,5,22,18,3,7,2,0,0,9,2,1,4,0,0,0,0,0,0,0,.500,.500,1.0
東京ドーム,.222,2,9,9,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,.222,.222,0.444
甲子園,.167,3,12,12,1,2,1,0,0,3,0,2,0,0,0,0,0,0,0,0,.167,.250,0.417
横浜,.308,3,14,13,2,4,0,0,0,4,1,2,0,0,1,0,0,0,0,1,.357,.308,0.665
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,.182,3,13,11,0,2,1,0,0,3,0,1,0,0,2,0,0,0,0,0,.308,.273,0.58
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
