条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.250,16,16,4,0,0,0,0,0,0,0,0,0.25
1-0より,.125,8,8,1,0,0,1,0,0,0,0,0,0.125
2-0より,.000,1,1,0,0,0,0,0,0,0,0,0,0.0
3-0より,.000,2,1,0,0,0,0,0,1,0,0,0,0.5
0-1より,.167,8,6,1,1,0,0,0,0,0,0,2,0.125
1-1より,.500,10,10,5,2,0,1,0,0,0,0,0,0.5
2-1より,1.000,1,1,1,0,0,0,0,0,0,0,0,1.0
3-1より,-,3,0,0,0,0,0,0,3,0,0,0,1.0
0-2より,.571,7,7,4,0,0,0,1,0,0,0,0,0.571
1-2より,.053,19,19,1,0,0,0,9,0,0,0,0,0.053
2-2より,.227,22,22,5,1,0,1,7,0,0,0,0,0.227
3-2より,.250,16,12,3,0,0,0,4,4,0,0,0,0.438
