球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ZOZOマリン,4.11,17,0,17,1,0,0,1,1,2,1,0,15.1,12,3,11,4,0,7,7,1.04,0.218,-,2.19
みずほPayPay,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,1,0,0,0,1.0,0.0,-,99.00
エスコンＦ,0.00,2,0,2,0,0,0,0,0,0,0,0,2.1,1,0,0,0,0,0,0,0.43,0.125,-,99.00
楽天モバイル,0.00,3,0,3,0,0,0,0,0,0,0,0,2.1,3,0,3,1,0,0,0,1.71,0.3,-,99.00
京セラD大阪,8.10,3,0,3,0,0,0,0,0,0,0,0,3.1,4,0,2,2,0,3,3,1.8,0.286,-,1.11
ベルーナドーム,9.00,2,0,2,0,1,0,0,0,0,0,1,2.0,5,0,2,0,0,2,2,2.5,0.5,-,1.00
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
東京ドーム,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,2,0,0,0,0,0.0,0.0,-,99.00
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
