条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.359,66,64,23,6,0,0,0,0,1,0,1,0.364
1-0より,.276,30,29,8,0,0,1,0,0,1,0,0,0.3
2-0より,.273,11,11,3,0,1,0,0,0,0,0,0,0.273
3-0より,-,3,0,0,0,0,0,0,3,0,0,0,1.0
0-1より,.264,53,53,14,3,1,0,0,0,0,0,0,0.264
1-1より,.290,33,31,9,1,1,1,0,0,2,0,0,0.333
2-1より,.250,10,8,2,1,0,0,0,0,1,0,1,0.3
3-1より,.375,12,8,3,1,0,0,0,4,0,0,0,0.583
0-2より,.194,36,36,7,1,0,0,16,0,0,0,0,0.194
1-2より,.253,99,95,24,6,0,0,37,0,3,0,1,0.273
2-2より,.245,53,53,13,6,0,0,21,0,0,0,0,0.245
3-2より,.379,38,29,11,2,0,1,11,9,0,0,0,0.526
