条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.424,37,33,14,4,0,1,0,0,0,4,0,0.424
1-0より,.290,34,31,9,1,0,0,0,1,0,2,0,0.313
2-0より,.231,14,13,3,0,0,1,0,0,0,0,1,0.214
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.306,38,36,11,3,1,1,0,0,1,0,1,0.316
1-1より,.379,29,29,11,3,0,0,0,0,0,0,0,0.379
2-1より,.350,21,20,7,1,0,0,0,0,0,0,1,0.333
3-1より,.214,25,14,3,0,0,0,0,11,0,0,0,0.56
0-2より,.050,20,20,1,0,0,0,16,0,0,0,0,0.05
1-2より,.204,49,49,10,2,0,0,19,0,0,0,0,0.204
2-2より,.135,37,37,5,1,0,0,17,0,0,0,0,0.135
3-2より,.211,65,38,8,2,0,1,15,26,0,0,1,0.523
