球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ZOZOマリン,.409,8,22,22,2,9,2,0,1,14,3,1,0,0,0,0,0,0,0,0,.409,.636,1.045
みずほPayPay,.000,3,10,9,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,.100,.000,0.1
エスコンＦ,.100,3,12,10,0,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,.250,.100,0.35
楽天モバイル,.000,3,9,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.000,0.111
京セラD大阪,.000,2,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,.333,1,4,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.500,.333,0.833
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
