球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,113,42.5%,147.2,7,25,23,31,48.7%,12.3%,.214,28,6,0,1,2,1
スライダー,37,13.9%,127.6,2,13,4,12,51.4%,16.7%,.167,6,1,0,0,0,0
カットボール,29,10.9%,136.0,2,8,2,12,41.4%,22.2%,.000,7,0,0,2,2,0
フォーク,25,9.4%,134.6,3,3,9,7,60.0%,20.0%,.200,5,1,0,2,0,0
チェンジアップ,21,7.9%,131.0,2,1,6,8,42.9%,16.7%,.250,4,1,0,0,0,0
ツーシーム,18,6.8%,142.9,3,6,4,4,72.2%,37.5%,.333,3,1,1,2,0,0
カーブ,13,4.9%,117.5,1,1,2,7,30.8%,20.0%,.000,3,0,0,1,0,0
スプリット,4,1.5%,142.0,1,0,0,3,25.0%,100.0%,.000,1,0,0,1,0,0
シュート,3,1.1%,140.7,0,1,0,2,33.3%,-%,-,0,0,0,0,0,0
ナックルカーブ,2,0.8%,123.5,0,0,0,1,0.0%,0.0%,1.000,1,1,0,0,0,0
シンカー,1,0.4%,133.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
