条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.259,27,27,7,3,0,1,0,0,0,0,0,0.259
1-0より,.280,25,25,7,2,0,1,0,0,0,0,0,0.28
2-0より,.200,5,5,1,0,0,0,0,0,0,0,0,0.2
3-0より,-,5,0,0,0,0,0,0,5,0,0,0,1.0
0-1より,.300,30,30,9,1,0,0,0,0,0,0,0,0.3
1-1より,.303,34,33,10,1,0,4,0,0,1,0,0,0.324
2-1より,.250,17,16,4,2,0,0,0,0,1,0,0,0.294
3-1より,.222,19,9,2,0,0,0,0,10,0,0,0,0.632
0-2より,.182,33,33,6,0,0,0,21,0,0,0,0,0.182
1-2より,.190,60,58,11,2,0,1,33,0,1,0,1,0.2
2-2より,.259,55,54,14,3,0,4,23,0,0,0,1,0.255
3-2より,.125,57,40,5,0,0,2,21,17,0,0,0,0.386
