条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.41,70,61,25,2,0,2,0,2,3,4,0,0.455
1-0より,0.304,47,46,14,2,0,0,0,0,0,1,0,0.304
2-0より,0.556,9,9,5,1,0,0,0,0,0,0,0,0.556
3-0より,0.0,8,1,0,0,0,0,0,7,0,0,0,0.875
0-1より,0.264,53,53,14,0,1,0,0,0,0,0,0,0.264
1-1より,0.302,54,53,16,4,1,1,0,0,0,1,0,0.302
2-1より,0.464,29,28,13,3,0,0,0,0,0,1,0,0.464
3-1より,0.154,32,13,2,1,0,0,0,18,0,0,1,0.625
0-2より,0.2,31,30,6,0,0,0,12,0,1,0,0,0.226
1-2より,0.305,82,82,25,4,0,2,19,0,0,0,0,0.305
2-2より,0.259,82,81,21,2,0,0,18,0,0,0,1,0.256
3-2より,0.236,76,55,13,4,1,1,11,20,0,0,1,0.434
