守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.237,35,143,135,18,32,6,0,3,47,13,25,5,0,1,1,1,7,0,1,.268,.348,0.616
中堅手,.276,17,69,58,4,16,3,2,0,23,2,11,5,0,3,3,0,1,1,0,.364,.397,0.76
右翼手,.000,2,6,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.333,.000,0.333
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.211,32,23,19,6,4,1,0,0,5,1,4,3,0,1,0,0,1,0,0,.348,.263,0.611
