条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.267,20,15,4,1,0,0,0,0,0,5,0,0.267
1-0より,0.083,13,12,1,1,0,0,0,0,1,0,0,0.154
2-0より,0.5,2,2,1,0,0,0,0,0,0,0,0,0.5
3-0より,1.0,3,1,1,0,0,0,0,2,0,0,0,1.0
0-1より,0.333,18,18,6,0,1,0,0,0,0,0,0,0.333
1-1より,0.333,13,12,4,2,0,0,0,0,0,1,0,0.333
2-1より,0.25,8,8,2,0,0,0,0,0,0,0,0,0.25
3-1より,0.0,6,2,0,0,0,0,0,4,0,0,0,0.667
0-2より,0.125,16,16,2,0,0,0,3,0,0,0,0,0.125
1-2より,0.179,29,28,5,0,0,0,11,0,0,1,0,0.179
2-2より,0.286,28,28,8,2,0,0,10,0,0,0,0,0.286
3-2より,0.067,20,15,1,0,0,0,8,4,0,1,0,0.263
