条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.273,52,44,12,3,0,1,0,1,1,5,1,0.298
1-0より,0.576,35,33,19,3,1,6,0,0,0,2,0,0.576
2-0より,0.6,10,10,6,1,0,1,0,0,0,0,0,0.6
3-0より,1.0,1,1,1,0,0,0,0,0,0,0,0,1.0
0-1より,0.317,42,41,13,2,0,2,0,0,0,1,0,0.317
1-1より,0.405,40,37,15,3,1,0,0,0,1,2,0,0.421
2-1より,0.25,20,20,5,1,1,2,0,0,0,0,0,0.25
3-1より,0.455,18,11,5,1,0,2,0,7,0,0,0,0.667
0-2より,0.109,55,55,6,1,0,0,30,0,0,0,0,0.109
1-2より,0.122,74,74,9,2,0,0,36,0,0,0,0,0.122
2-2より,0.153,59,59,9,3,0,0,24,0,0,0,0,0.153
3-2より,0.417,47,36,15,1,0,1,10,11,0,0,0,0.553
