球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,466,44.5%,147.0,42,67,109,177,46.8%,18.9%,0.291,86,25,3,19,9,0
スライダー,141,13.5%,130.5,20,14,30,49,45.4%,25.6%,0.257,35,9,1,7,1,0
カットボール,122,11.6%,137.2,16,15,25,50,45.9%,28.1%,0.217,23,5,0,7,6,0
チェンジアップ,79,7.5%,132.1,21,7,7,30,44.3%,50.0%,0.238,21,5,0,7,0,0
フォーク,78,7.4%,136.8,11,10,21,25,53.8%,25.6%,0.235,17,4,0,6,0,0
ツーシーム,50,4.8%,140.9,5,14,7,17,52.0%,26.3%,0.091,11,1,0,4,1,0
カーブ,45,4.3%,117.7,10,9,6,12,55.6%,41.7%,0.364,11,4,0,3,0,0
シュート,24,2.3%,145.2,1,1,8,9,41.7%,7.1%,0.0,5,0,0,0,1,0
ナックルカーブ,20,1.9%,126.3,5,3,3,7,55.0%,50.0%,0.333,3,1,0,1,0,0
スプリット,14,1.3%,137.0,4,0,2,3,42.9%,36.4%,0.571,7,4,0,2,0,0
縦スライダー,5,0.5%,124.0,3,1,0,1,80.0%,100.0%,0.0,2,0,0,2,0,0
シンカー,2,0.2%,127.5,0,0,0,1,0.0%,0.0%,0.0,1,0,0,0,0,0
パーム,2,0.2%,115.0,0,0,0,1,0.0%,0.0%,0.0,1,0,0,0,0,0
