球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
東京ドーム,2.55,13,13,0,6,2,0,0,0,0,0,0,74.0,71,4,70,22,5,24,21,1.26,0.252,3.63,-
甲子園,1.50,2,2,0,1,0,0,0,0,0,0,0,12.0,7,1,10,3,0,3,2,0.83,0.171,3.86,-
横浜,2.16,4,4,0,2,0,0,0,0,0,0,0,25.0,19,1,14,5,1,6,6,0.96,0.211,6.21,-
マツダスタジアム,6.00,1,1,0,0,1,0,0,0,0,0,0,6.0,7,1,3,2,0,4,4,1.5,0.292,1.29,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,0.56,2,2,0,1,1,0,0,0,0,0,0,16.0,7,1,13,2,0,1,1,0.56,0.13,1.00,-
Ce その他,1.42,1,1,0,1,0,0,0,0,0,0,0,6.1,6,0,7,2,0,1,1,1.26,0.25,3.00,-
みずほPayPay,0.00,1,1,0,0,0,0,0,0,0,0,0,8.0,4,0,7,0,0,0,0,0.5,0.148,0.00,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,1.00,1,1,0,0,0,0,0,0,0,0,0,9.0,3,1,7,0,0,1,1,0.33,0.1,0.90,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
