球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,226,42.2%,147.5,21,43,57,71,53.5%,18.8%,.156,45,7,0,15,5,1
スライダー,88,16.4%,130.7,12,7,29,16,54.5%,18.5%,.231,26,6,0,3,0,0
カットボール,46,8.6%,139.6,7,4,13,11,52.2%,22.6%,.364,11,4,0,1,0,0
チェンジアップ,39,7.3%,132.0,4,3,7,14,35.9%,18.2%,.462,13,6,0,2,0,0
フォーク,38,7.1%,134.4,8,1,11,12,52.6%,32.0%,.250,8,2,0,2,0,0
ツーシーム,31,5.8%,140.3,6,4,7,9,54.8%,33.3%,.143,7,1,0,2,0,0
カーブ,22,4.1%,115.4,1,3,7,9,50.0%,10.0%,.500,2,1,0,0,0,0
スプリット,14,2.6%,137.6,2,1,1,5,28.6%,25.0%,.333,6,2,0,1,1,0
シュート,14,2.6%,141.5,4,4,2,2,71.4%,50.0%,.250,4,1,0,2,0,0
ナックルカーブ,13,2.4%,125.8,2,2,2,4,46.2%,28.6%,.250,4,1,0,1,0,0
パーム,2,0.4%,122.0,1,0,1,0,100.0%,50.0%,-,0,0,0,0,0,0
ワンシーム,2,0.4%,147.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
縦スライダー,1,0.2%,127.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
