守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,.188,15,51,48,3,9,3,0,0,12,1,9,1,0,0,2,0,0,0,1,.204,.250,0.454
三塁手,.192,15,57,52,5,10,1,1,0,13,1,11,3,0,0,2,0,3,0,1,.236,.250,0.486
遊撃手,.216,11,43,37,2,8,2,0,0,10,2,9,2,0,1,3,0,0,1,1,.275,.270,0.545
左翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.400,40,25,20,4,8,0,0,0,8,0,3,4,0,0,1,0,3,0,0,.500,.400,0.9
