球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,348,49.8%,146.9,22,65,86,103,49.7%,12.2%,.247,81,20,0,14,6,0
スライダー,73,10.4%,128.4,9,16,14,27,53.4%,30.0%,.200,10,2,0,4,2,0
カットボール,70,10.0%,138.0,5,11,22,23,54.3%,13.9%,.182,11,2,0,2,0,0
フォーク,59,8.4%,136.2,6,6,13,25,42.4%,21.4%,.308,13,4,0,5,0,0
チェンジアップ,44,6.3%,132.8,5,8,8,12,47.7%,20.8%,.133,15,2,0,5,0,0
ツーシーム,30,4.3%,144.1,3,4,3,13,33.3%,23.1%,.286,7,2,0,0,1,1
カーブ,28,4.0%,115.3,2,9,2,9,46.4%,20.0%,.000,7,0,0,1,1,0
ナックルカーブ,12,1.7%,129.2,0,2,1,5,25.0%,0.0%,.500,4,2,0,0,0,0
縦スライダー,10,1.4%,128.0,1,3,0,3,40.0%,25.0%,.000,3,0,0,0,0,0
スプリット,10,1.4%,141.3,3,1,1,1,50.0%,37.5%,.200,5,1,0,1,0,0
シンカー,9,1.3%,133.0,1,1,2,4,44.4%,25.0%,.000,1,0,0,0,0,0
ワンシーム,3,0.4%,145.7,1,0,0,2,33.3%,100.0%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,99.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
パワーカーブ,1,0.1%,124.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
シュート,1,0.1%,143.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
