条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.225,43,40,9,2,0,0,0,3,0,0,0,.279
1-0より,.333,18,18,6,0,0,0,0,0,0,0,0,.333
2-0より,.000,1,1,0,0,0,0,0,0,0,0,0,.000
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,.435,23,23,10,0,0,0,0,0,0,0,0,.435
1-1より,.438,17,16,7,0,0,0,0,0,1,0,0,.471
2-1より,.167,6,6,1,0,0,0,0,0,0,0,0,.167
3-1より,.000,2,1,0,0,0,0,0,1,0,0,0,.500
0-2より,.200,15,15,3,0,0,0,5,0,0,0,0,.200
1-2より,.188,32,32,6,0,0,0,10,0,0,0,0,.188
2-2より,.294,17,17,5,0,1,0,4,0,0,0,0,.294
3-2より,.167,13,12,2,0,0,0,4,1,0,0,0,.231
