球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
マツダスタジアム,2.84,12,12,0,4,8,0,0,0,0,0,0,79.1,77,2,51,15,3,33,25,1.16,0.257,3.87,-
東京ドーム,1.13,1,1,0,0,1,0,0,0,0,0,0,8.0,5,1,6,0,0,1,1,0.63,0.172,0.00,-
甲子園,2.25,2,2,0,1,0,0,0,0,0,0,0,16.0,10,0,9,4,0,4,4,0.88,0.182,3.71,-
横浜,1.80,2,2,0,0,1,0,0,0,0,0,0,15.0,9,1,12,2,0,4,3,0.73,0.17,2.12,-
神宮,2.57,1,1,0,0,1,0,0,0,0,0,0,7.0,7,0,4,4,0,2,2,1.57,0.28,0.00,-
バンテリンドーム,2.50,3,3,0,0,3,0,0,0,0,0,0,18.0,22,1,6,10,1,7,5,1.78,0.319,1.29,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,2.00,1,1,0,1,0,0,0,0,0,0,0,9.0,10,1,4,2,1,2,2,1.33,0.294,6.00,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
