球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,191,41.5%,146.0,18,41,41,54,52.4%,18.8%,.244,45,11,0,13,3,1
スライダー,78,17.0%,130.6,11,13,11,35,44.9%,36.7%,.091,11,1,0,3,1,1
カットボール,47,10.2%,138.7,12,9,8,9,61.7%,41.4%,.357,14,5,0,5,0,1
チェンジアップ,31,6.7%,120.8,6,6,1,10,41.9%,40.0%,.000,11,0,0,3,0,0
ツーシーム,30,6.5%,139.7,1,5,4,14,33.3%,9.1%,.333,6,2,0,0,0,0
フォーク,28,6.1%,135.6,7,3,3,13,46.4%,58.3%,.000,4,0,0,2,0,0
カーブ,15,3.3%,117.5,2,4,3,6,60.0%,40.0%,.000,1,0,0,1,0,0
スプリット,12,2.6%,136.7,1,1,3,4,41.7%,14.3%,.333,3,1,0,0,0,0
シュート,10,2.2%,147.5,2,1,4,0,70.0%,22.2%,.000,4,0,0,1,0,0
ナックルカーブ,7,1.5%,123.4,1,0,0,5,14.3%,50.0%,.000,2,0,0,1,0,0
シンカー,6,1.3%,138.8,0,0,3,1,50.0%,0.0%,.000,2,0,0,0,0,0
スクリュー,2,0.4%,134.5,0,1,1,0,100.0%,0.0%,-,0,0,0,0,0,0
縦スライダー,1,0.2%,137.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
パワーカーブ,1,0.2%,118.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
高速スライダー,1,0.2%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
