条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.214,17,14,3,0,1,0,0,1,0,2,0,0.267
1-0より,.571,9,7,4,1,0,1,0,0,1,0,1,0.556
2-0より,1.000,2,2,2,0,1,0,0,0,0,0,0,1.0
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.0
0-1より,.222,9,9,2,1,0,0,0,0,0,0,0,0.222
1-1より,.286,15,14,4,0,0,1,0,0,0,0,1,0.267
2-1より,.231,13,13,3,0,0,0,0,0,0,0,0,0.231
3-1より,-,6,0,0,0,0,0,0,6,0,0,0,1.0
0-2より,.400,10,10,4,1,0,0,5,0,0,0,0,0.4
1-2より,.077,26,26,2,0,0,0,8,0,0,0,0,0.077
2-2より,.143,22,21,3,0,0,0,11,0,1,0,0,0.182
3-2より,.400,11,10,4,2,0,0,2,1,0,0,0,0.455
