球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
マツダスタジアム,5.79,12,0,12,0,0,4,0,4,0,0,0,9.1,11,2,12,3,1,6,6,1.5,0.306,-,1.56
東京ドーム,0.00,2,0,2,0,0,2,0,2,0,0,0,2.0,1,0,3,0,0,0,0,0.5,0.143,-,99.00
甲子園,4.50,2,0,2,0,0,0,0,0,0,0,0,2.0,2,0,1,1,0,1,1,1.5,0.286,-,2.00
横浜,9.00,3,0,3,0,0,0,0,0,0,0,0,2.0,4,0,2,3,1,2,2,3.5,0.444,-,1.00
神宮,10.80,3,0,3,0,1,0,0,0,0,0,1,1.2,2,0,1,1,1,2,2,1.8,0.333,-,0.83
バンテリンドーム,0.00,1,0,1,0,0,0,1,0,1,0,0,1.0,1,0,2,0,0,0,0,1.0,0.25,-,99.00
Ce その他,0.00,3,0,3,0,0,2,0,2,0,0,0,2.0,1,0,5,0,0,0,0,0.5,0.143,-,99.00
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,27.00,1,0,1,0,0,0,0,0,0,0,0,0.2,3,0,0,0,0,2,2,4.5,0.6,-,0.33
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,2,0,0,0,0,1.0,0.2,-,99.00
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
