条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.231,30,26,6,0,0,1,0,1,0,3,0,0.259
1-0より,.278,18,18,5,2,0,0,0,0,0,0,0,0.278
2-0より,.000,5,5,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,6,0,0,0,0,0,0,6,0,0,0,1.0
0-1より,.333,9,9,3,1,0,0,0,0,0,0,0,0.333
1-1より,.063,16,16,1,0,0,0,0,0,0,0,0,0.063
2-1より,.250,8,8,2,0,0,0,0,0,0,0,0,0.25
3-1より,.250,9,4,1,0,0,0,0,5,0,0,0,0.667
0-2より,.053,19,19,1,1,0,0,15,0,0,0,0,0.053
1-2より,.109,47,46,5,1,0,0,21,0,0,0,1,0.106
2-2より,.167,38,36,6,1,0,0,16,0,1,0,1,0.184
3-2より,.000,19,10,0,0,0,0,5,9,0,0,0,0.474
