守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,.238,6,22,21,1,5,0,0,1,8,3,8,1,1,0,0,0,0,0,0,.273,.381,0.654
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,.125,2,8,8,1,1,0,0,1,4,1,2,0,0,0,0,0,0,0,0,.125,.500,0.625
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.143,2,7,7,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,.143,.143,0.286
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.167,12,12,12,0,2,0,0,0,2,0,5,0,0,0,0,0,0,0,0,.167,.167,0.333
