条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.301,73,73,22,3,1,5,0,0,0,0,0,0.301
1-0より,.357,29,28,10,2,1,2,0,0,1,0,0,0.379
2-0より,.000,6,6,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,9,0,0,0,0,0,0,9,0,0,0,1.0
0-1より,.353,53,51,18,5,0,0,0,0,1,0,1,0.358
1-1より,.364,33,33,12,1,0,0,0,0,0,0,0,0.364
2-1より,.273,23,22,6,2,0,1,0,0,0,0,1,0.261
3-1より,.333,11,3,1,0,0,0,0,8,0,0,0,0.818
0-2より,.200,41,40,8,3,0,0,21,0,0,0,1,0.195
1-2より,.215,80,79,17,1,1,1,29,0,0,0,1,0.213
2-2より,.138,65,65,9,1,0,1,24,0,0,0,0,0.138
3-2より,.081,54,37,3,0,0,1,23,16,0,0,1,0.352
