球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,80,39.4%,145.9,2,23,19,20,55.0%,5.4%,.222,18,4,0,2,2,0
スライダー,42,20.7%,129.2,4,11,4,16,45.2%,26.7%,.200,10,2,0,3,0,0
フォーク,14,6.9%,139.3,2,1,3,5,42.9%,25.0%,.000,5,0,0,2,0,0
カーブ,13,6.4%,119.2,0,6,3,4,69.2%,0.0%,.000,1,0,0,1,0,0
カットボール,13,6.4%,136.1,1,4,2,2,53.8%,14.3%,.750,4,3,0,0,0,0
チェンジアップ,11,5.4%,127.3,0,0,0,8,0.0%,0.0%,.000,3,0,0,0,0,0
ツーシーム,10,4.9%,140.1,0,1,3,2,40.0%,0.0%,.000,4,0,0,0,0,0
スプリット,8,3.9%,137.5,1,0,3,2,50.0%,16.7%,.000,3,0,0,1,0,0
シュート,8,3.9%,146.0,0,0,2,2,25.0%,0.0%,.000,4,0,0,0,0,0
ナックルカーブ,3,1.5%,129.7,1,0,0,1,33.3%,50.0%,.500,2,1,0,1,0,0
ワンシーム,1,0.5%,147.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
