球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
楽天モバイル,.246,47,155,142,10,35,4,0,4,51,13,27,10,0,1,0,2,0,0,2,.297,.359,0.656
みずほPayPay,.103,12,42,39,0,4,0,0,0,4,2,13,3,0,0,0,0,0,0,0,.167,.103,0.269
エスコンＦ,.172,9,34,29,3,5,1,0,1,9,5,4,3,1,0,0,2,0,0,0,.235,.310,0.546
ZOZOマリン,.167,9,32,30,2,5,1,0,0,6,0,7,2,0,0,0,0,0,0,0,.219,.200,0.419
京セラD大阪,.440,8,30,25,2,11,2,0,0,13,6,3,4,0,0,0,1,0,1,2,.500,.520,1.02
ベルーナドーム,.333,8,31,30,2,10,0,0,1,13,5,6,1,0,0,0,0,0,0,1,.355,.433,0.788
Pa その他,.083,4,13,12,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,.154,.083,0.237
東京ドーム,.400,4,10,10,2,4,1,0,1,8,1,2,0,0,0,0,0,0,0,0,.400,.800,1.2
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
