球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
楽天モバイル,.310,24,65,58,6,18,5,1,1,28,5,15,5,1,0,2,0,0,0,1,.365,.483,0.848
みずほPayPay,.000,2,7,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.143,.000,0.143
エスコンＦ,.167,4,13,12,0,2,1,0,0,3,0,5,0,0,1,0,0,0,0,0,.231,.250,0.481
ZOZOマリン,.182,4,12,11,0,2,1,0,0,3,1,4,1,0,0,0,0,1,0,0,.250,.273,0.523
京セラD大阪,.077,5,15,13,1,1,1,0,0,2,1,4,1,0,0,0,1,0,0,0,.133,.154,0.287
ベルーナドーム,.200,4,6,5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,.333,.200,0.533
Pa その他,.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
東京ドーム,.000,3,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.200,2,5,5,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.200,.200,0.4
神宮,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
