条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.26,50,50,13,2,1,0,0,0,0,0,0,0.26
1-0より,0.286,23,21,6,1,0,1,0,1,1,0,0,0.348
2-0より,0.6,7,5,3,0,0,0,0,2,0,0,0,0.714
3-0より,0.0,8,2,0,0,0,0,0,6,0,0,0,0.75
0-1より,0.185,30,27,5,1,0,1,0,0,3,0,0,0.267
1-1より,0.222,27,27,6,3,0,1,0,0,0,0,0,0.222
2-1より,0.154,14,13,2,0,0,1,0,0,0,0,1,0.143
3-1より,0.6,24,10,6,1,0,0,0,14,0,0,0,0.833
0-2より,0.2,15,15,3,0,0,0,7,0,0,0,0,0.2
1-2より,0.2,41,40,8,2,0,2,25,0,1,0,0,0.22
2-2より,0.225,72,71,16,1,0,2,26,0,1,0,0,0.236
3-2より,0.22,78,50,11,2,0,1,23,28,0,0,0,0.5
