球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
楽天モバイル,2.81,15,0,15,1,0,1,0,2,1,1,0,16.0,16,0,9,8,1,6,5,1.5,0.276,-,2.67
みずほPayPay,0.00,4,0,4,0,0,0,0,0,0,0,0,4.0,2,0,5,3,0,0,0,1.25,0.154,-,99.00
エスコンＦ,3.38,3,0,3,0,0,0,0,0,0,0,0,2.2,3,0,0,4,0,1,1,2.63,0.273,-,2.67
ZOZOマリン,0.00,1,0,1,0,1,0,0,0,0,0,1,1.0,1,0,1,0,0,1,0,1.0,0.333,-,1.00
京セラD大阪,18.00,2,0,2,0,0,0,0,0,0,0,0,2.0,5,0,2,2,0,4,4,3.5,0.5,-,0.50
ベルーナドーム,3.38,3,0,3,0,0,0,0,0,0,0,0,2.2,4,0,0,4,0,1,1,3.0,0.333,-,2.67
Pa その他,9.00,1,0,1,0,0,0,0,0,0,0,0,1.0,2,1,0,0,0,1,1,2.0,0.5,-,1.00
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,0.00,1,0,1,0,0,0,0,0,0,0,0,2.0,2,0,1,0,0,0,0,1.0,0.286,-,99.00
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
