球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,285,49.5%,147.6,39,45,58,111,49.8%,30.2%,.146,48,7,1,18,14,0
スライダー,79,13.7%,128.7,13,20,10,26,54.4%,39.4%,.176,17,3,1,7,1,0
フォーク,50,8.7%,135.4,9,5,8,23,44.0%,40.9%,.286,7,2,0,2,0,0
ツーシーム,43,7.5%,146.3,1,10,4,22,34.9%,9.1%,.667,6,4,1,0,3,0
カットボール,38,6.6%,140.4,3,5,5,16,34.2%,17.6%,.500,10,5,0,1,1,0
チェンジアップ,33,5.7%,124.9,4,5,3,18,36.4%,40.0%,.400,5,2,0,2,1,0
スプリット,23,4.0%,140.5,4,0,3,11,30.4%,33.3%,.000,5,0,0,0,1,0
カーブ,13,2.3%,117.7,0,5,3,2,61.5%,0.0%,.000,3,0,0,0,0,0
シュート,7,1.2%,140.0,0,1,0,4,14.3%,0.0%,.000,2,0,0,0,1,0
縦スライダー,3,0.5%,125.7,1,0,1,0,66.7%,33.3%,.000,1,0,0,0,0,0
ナックルカーブ,1,0.2%,126.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
シンカー,1,0.2%,131.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
