条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.294,19,17,5,0,0,0,0,1,0,1,0,0.333
1-0より,.313,17,16,5,2,0,2,0,0,0,0,1,0.294
2-0より,.400,5,5,2,0,0,0,0,0,0,0,0,0.4
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.235,18,17,4,1,0,0,0,0,0,1,0,0.235
1-1より,.333,13,12,4,0,0,0,0,0,1,0,0,0.385
2-1より,.333,12,12,4,1,0,1,0,0,0,0,0,0.333
3-1より,.000,9,3,0,0,0,0,0,6,0,0,0,0.667
0-2より,.214,14,14,3,0,1,0,5,0,0,0,0,0.214
1-2より,.103,29,29,3,0,0,0,11,0,0,0,0,0.103
2-2より,.276,29,29,8,2,0,0,13,0,0,0,0,0.276
3-2より,.333,17,9,3,0,0,1,5,8,0,0,0,0.647
