守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.143,3,9,7,1,1,0,0,0,1,0,3,2,0,0,0,0,1,0,0,.333,.143,0.476
中堅手,.121,12,42,33,2,4,1,0,0,5,2,8,5,0,1,2,1,0,0,2,.250,.152,0.402
右翼手,.255,16,56,51,6,13,2,1,0,17,6,15,3,0,1,1,0,1,1,0,.309,.333,0.642
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.235,31,23,17,12,4,0,1,0,6,2,5,4,0,0,1,1,1,1,0,.364,.353,0.717
