球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
横浜,4.60,31,0,31,0,4,16,7,16,7,0,4,29.1,33,2,30,10,1,15,15,1.47,0.295,-,1.96
東京ドーム,3.38,3,0,3,0,1,2,0,2,0,0,1,2.2,3,0,5,0,0,1,1,1.13,0.273,-,2.67
甲子園,0.00,2,0,2,0,0,0,2,0,2,0,0,2.0,2,0,4,0,0,0,0,1.0,0.25,-,99.00
マツダスタジアム,0.00,3,0,3,0,0,2,1,2,1,0,0,3.0,1,0,4,0,0,0,0,0.33,0.111,-,99.00
神宮,0.00,4,0,4,0,0,4,0,4,0,0,0,4.0,1,0,4,1,0,0,0,0.5,0.083,-,99.00
バンテリンドーム,1.80,5,0,5,0,0,1,3,1,3,0,0,5.0,3,1,4,1,0,1,1,0.8,0.176,-,5.00
Ce その他,0.00,2,0,2,0,0,2,0,2,0,0,0,2.0,0,0,4,1,0,0,0,0.5,0.0,-,99.00
みずほPayPay,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,1.0,0.25,-,99.00
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,0.00,3,0,3,0,0,3,0,3,0,0,0,3.0,2,0,1,0,0,0,0,0.67,0.182,-,99.00
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,0,0,2,0,0,0,0,0.0,0.0,-,99.00
