球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
横浜,.216,45,83,74,12,16,5,0,0,21,5,15,9,3,0,0,0,12,2,4,.301,.284,0.585
東京ドーム,.222,8,9,9,2,2,0,0,0,2,1,1,0,0,0,0,0,4,1,0,.222,.222,0.444
甲子園,.000,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
マツダスタジアム,.182,7,12,11,0,2,0,0,0,2,0,3,1,0,0,0,0,0,2,0,.250,.182,0.432
神宮,.053,8,21,19,0,1,0,0,0,1,1,4,2,0,0,0,0,0,1,1,.143,.053,0.195
バンテリンドーム,.429,9,21,14,5,6,2,0,0,8,2,3,5,2,0,1,1,2,2,1,.550,.571,1.121
Ce その他,.000,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
みずほPayPay,.125,3,8,8,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,.125,.125,0.25
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.316,5,19,19,4,6,2,0,0,8,1,4,0,0,0,0,0,3,0,0,.316,.421,0.737
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
