球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
横浜,.291,69,278,261,30,76,15,0,10,121,40,18,12,0,3,0,2,0,0,1,.327,.464,0.791
東京ドーム,.293,11,45,41,2,12,0,0,0,12,2,8,3,0,0,0,1,0,0,0,.333,.293,0.626
甲子園,.185,7,28,27,2,5,2,0,0,7,1,5,0,0,1,0,0,0,0,0,.214,.259,0.474
マツダスタジアム,.333,12,47,42,4,14,2,0,1,19,7,5,3,0,1,0,1,0,0,0,.383,.452,0.835
神宮,.286,13,58,49,4,14,3,0,2,23,13,8,8,1,0,0,1,0,0,1,.379,.469,0.849
バンテリンドーム,.220,12,53,50,1,11,1,0,0,12,3,10,3,0,0,0,0,0,0,0,.264,.240,0.504
Ce その他,.000,2,10,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
みずほPayPay,.250,3,12,12,1,3,0,0,1,6,1,2,0,0,0,0,0,0,0,0,.250,.500,0.75
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.429,2,9,7,1,3,1,0,1,7,2,0,2,0,0,0,0,0,0,0,.556,1.000,1.556
京セラD大阪,.227,6,25,22,2,5,0,0,0,5,1,3,3,0,0,0,0,0,0,1,.320,.227,0.547
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,.250,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.250,0.5
