球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,895,41.7%,146.9,37,191,160,310,43.4%,9.4%,.325,212,69,10,17,15,1
スライダー,310,14.4%,128.6,25,63,50,107,44.5%,17.9%,.267,75,20,1,12,3,1
カットボール,241,11.2%,137.1,16,47,39,94,42.3%,16.0%,.176,51,9,1,6,4,0
フォーク,172,8.0%,135.7,13,23,29,65,37.8%,15.5%,.265,49,13,1,7,4,0
カーブ,121,5.6%,116.7,5,34,11,45,41.3%,11.9%,.207,29,6,0,3,0,0
チェンジアップ,116,5.4%,130.3,10,20,18,42,41.4%,18.5%,.241,29,7,1,3,1,1
ツーシーム,101,4.7%,141.1,5,15,16,43,35.6%,11.6%,.240,25,6,1,3,2,1
スプリット,72,3.4%,139.3,12,8,6,24,36.1%,30.0%,.185,27,5,0,5,2,0
シュート,45,2.1%,143.8,2,13,7,13,48.9%,10.5%,.600,10,6,0,1,0,1
シンカー,30,1.4%,134.5,3,8,3,12,46.7%,30.0%,.167,6,1,0,2,1,0
ナックルカーブ,25,1.2%,125.0,4,6,4,7,56.0%,33.3%,.167,6,1,0,2,0,0
パワーカーブ,5,0.2%,121.8,0,0,1,3,20.0%,0.0%,.000,1,0,0,0,0,0
パーム,4,0.2%,113.8,0,0,0,2,0.0%,0.0%,.000,2,0,0,0,1,0
縦スライダー,2,0.1%,132.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
スラーブ,2,0.1%,126.5,1,0,0,1,50.0%,100.0%,-,0,0,0,0,0,0
スローカーブ,2,0.1%,85.5,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
ワンシーム,2,0.1%,144.0,0,0,0,0,0.0%,0.0%,.500,2,1,0,0,0,0
スローボール,1,0.0%,82.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
