球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,284,39.7%,146.5,32,37,72,86,49.6%,19.9%,.256,78,20,0,24,2,1
カットボール,96,13.4%,136.0,13,9,23,28,46.9%,22.0%,.233,30,7,0,7,1,0
スライダー,91,12.7%,128.1,16,12,20,29,52.7%,32.0%,.238,21,5,1,7,0,1
フォーク,72,10.1%,136.6,16,6,13,23,48.6%,37.2%,.158,19,3,0,5,1,1
チェンジアップ,66,9.2%,129.8,22,6,12,15,60.6%,48.9%,.273,22,6,0,11,1,0
ツーシーム,31,4.3%,143.1,4,2,10,10,51.6%,21.1%,.000,7,0,0,2,0,0
カーブ,29,4.1%,116.4,4,7,6,6,58.6%,25.0%,.000,7,0,0,1,0,0
スプリット,16,2.2%,138.9,6,0,3,6,56.3%,60.0%,.000,3,0,0,2,0,0
ナックルカーブ,9,1.3%,122.8,0,2,2,4,44.4%,0.0%,.000,1,0,0,0,0,0
シュート,6,0.8%,138.0,0,1,0,3,16.7%,0.0%,.000,2,0,0,0,0,0
シンカー,5,0.7%,133.6,1,0,0,2,20.0%,33.3%,.000,2,0,0,0,0,1
スラーブ,4,0.6%,126.3,0,2,1,1,75.0%,0.0%,-,0,0,0,0,0,0
縦スライダー,2,0.3%,131.5,0,0,1,0,50.0%,0.0%,1.000,1,1,0,0,0,0
パーム,2,0.3%,110.0,2,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
ワンシーム,2,0.3%,144.5,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
スクリュー,1,0.1%,137.0,0,0,0,1,0.0%,-%,-,0,0,0,0,1,0
