条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.524,21,21,11,3,0,1,0,0,0,0,0,0.524
1-0より,0.4,15,15,6,0,0,0,0,0,0,0,0,0.4
2-0より,0.0,1,1,0,0,0,0,0,0,0,0,0,0.0
3-0より,0.0,4,1,0,0,0,0,0,3,0,0,0,0.75
0-1より,0.438,16,16,7,3,0,0,0,0,0,0,0,0.438
1-1より,0.273,22,22,6,1,0,1,0,0,0,0,0,0.273
2-1より,0.364,12,11,4,1,0,0,0,0,0,0,1,0.333
3-1より,0.0,5,1,0,0,0,0,0,4,0,0,0,0.8
0-2より,0.143,7,7,1,0,0,0,1,0,0,0,0,0.143
1-2より,0.227,22,22,5,0,0,0,7,0,0,0,0,0.227
2-2より,0.2,21,20,4,0,0,0,9,0,0,0,1,0.19
3-2より,0.222,17,9,2,0,0,0,3,8,0,0,0,0.588
