球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
京セラD大阪,.269,53,206,186,20,50,11,1,2,69,15,36,12,0,0,6,2,5,3,4,.310,.371,0.681
みずほPayPay,.256,12,46,43,3,11,1,0,2,18,3,11,2,0,0,1,0,0,1,0,.289,.419,0.707
エスコンＦ,.222,13,42,36,5,8,2,0,1,13,6,8,6,0,0,0,0,1,0,2,.333,.361,0.694
ZOZOマリン,.216,12,46,37,3,8,0,0,0,8,0,9,9,0,0,0,0,0,3,0,.370,.216,0.586
楽天モバイル,.237,11,41,38,2,9,1,0,0,10,3,11,1,0,0,1,1,1,0,0,.250,.263,0.513
ベルーナドーム,.182,10,40,33,6,6,0,0,1,9,5,8,6,0,0,0,1,1,0,1,.300,.273,0.573
Pa その他,.444,4,19,18,4,8,0,0,1,11,2,3,1,0,0,0,0,1,0,1,.474,.611,1.085
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,.182,3,13,11,0,2,0,0,0,2,0,4,2,0,0,0,0,0,0,0,.308,.182,0.49
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
