球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,43,33.9%,149.7,6,9,10,10,58.1%,25.0%,.182,11,2,0,3,0,0
スライダー,29,22.8%,129.1,6,5,1,14,41.4%,60.0%,.000,5,0,0,2,1,0
ツーシーム,16,12.6%,142.2,0,2,5,3,43.8%,0.0%,.500,6,3,0,0,0,0
チェンジアップ,11,8.7%,133.7,4,2,0,4,54.5%,80.0%,.000,2,0,0,1,0,0
フォーク,10,7.9%,136.9,2,1,2,3,50.0%,33.3%,.000,3,0,0,1,0,0
カットボール,7,5.5%,138.0,2,2,0,1,57.1%,50.0%,.333,3,1,0,1,0,0
カーブ,4,3.1%,121.7,0,1,0,2,25.0%,0.0%,.000,1,0,0,0,0,0
スプリット,4,3.1%,138.5,1,0,0,2,25.0%,50.0%,.000,1,0,0,0,1,0
縦スライダー,2,1.6%,131.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
シュート,1,0.8%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
