守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.140,12,45,43,3,6,2,0,0,8,1,10,1,0,1,0,0,1,0,0,.178,.186,0.364
中堅手,.294,5,21,17,3,5,1,0,0,6,1,6,3,0,0,1,0,0,0,0,.400,.353,0.753
右翼手,.283,13,48,46,4,13,1,0,1,17,1,12,2,0,0,0,0,2,0,0,.313,.370,0.682
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.278,20,21,18,4,5,1,0,1,9,2,10,1,0,0,1,1,2,0,0,.300,.500,0.8
