球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
京セラD大阪,3.00,2,0,2,0,0,0,0,0,0,0,0,3.0,2,0,4,1,0,1,1,1.0,0.182,-,3.00
みずほPayPay,6.23,2,1,1,0,1,0,0,0,0,0,0,4.1,7,0,3,3,0,4,3,2.31,0.368,0.00,1.00
エスコンＦ,162.00,1,1,0,0,1,0,0,0,0,0,0,0.1,6,0,0,0,0,6,6,18.0,0.857,0.00,-
ZOZOマリン,9.00,1,0,1,0,0,0,0,0,0,0,0,2.0,2,0,2,1,0,2,2,1.5,0.25,-,1.00
楽天モバイル,0.00,1,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,3.0,0.0,-,99.00
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
