条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.438,53,48,21,3,0,2,0,0,0,3,2,0.42
1-0より,.324,35,34,11,2,0,2,0,0,0,1,0,0.324
2-0より,.273,12,11,3,1,0,1,0,1,0,0,0,0.333
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.246,71,69,17,3,0,1,0,0,1,1,0,0.257
1-1より,.295,45,44,13,4,0,3,0,0,0,0,1,0.289
2-1より,.444,28,27,12,3,0,0,0,0,0,0,1,0.429
3-1より,.538,19,13,7,3,0,1,0,6,0,0,0,0.684
0-2より,.107,28,28,3,1,0,1,10,0,0,0,0,0.107
1-2より,.273,66,66,18,1,1,0,20,0,0,0,0,0.273
2-2より,.197,61,61,12,4,0,0,15,0,0,0,0,0.197
3-2より,.188,41,32,6,1,0,1,4,9,0,0,0,0.366
