守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.352,31,133,125,16,44,8,0,4,64,10,8,5,0,0,2,1,3,0,0,.374,.512,0.886
中堅手,.263,49,203,190,27,50,10,1,7,83,26,23,10,0,0,1,2,6,2,0,.297,.437,0.734
右翼手,.241,30,115,108,11,26,6,0,1,35,13,15,3,1,1,2,1,1,0,0,.265,.324,0.59
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.300,9,12,10,0,3,2,0,0,5,4,3,2,0,0,0,0,0,0,0,.417,.500,0.917
