球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,688,40.7%,147.0,25,137,170,189,48.3%,6.9%,.303,178,54,5,16,11,1
スライダー,220,13.0%,129.7,18,32,36,87,39.1%,17.8%,.302,53,16,3,7,0,0
フォーク,194,11.5%,135.2,30,26,29,69,43.8%,30.3%,.200,50,10,1,10,2,0
カットボール,172,10.2%,137.6,18,31,24,63,42.4%,23.1%,.263,38,10,2,5,1,0
チェンジアップ,92,5.4%,127.1,9,18,11,30,41.3%,20.5%,.320,25,8,1,1,1,0
カーブ,80,4.7%,115.1,2,11,9,46,27.5%,8.7%,.267,15,4,0,3,1,0
ツーシーム,80,4.7%,140.4,6,13,9,27,35.0%,15.0%,.346,26,9,0,1,1,0
スプリット,72,4.3%,140.1,8,5,22,23,48.6%,18.2%,.278,18,5,0,4,2,0
シュート,28,1.7%,142.5,3,2,5,7,35.7%,15.8%,.091,11,1,0,0,0,0
縦スライダー,21,1.2%,133.1,1,5,1,6,33.3%,10.0%,.375,8,3,0,0,0,0
シンカー,16,0.9%,136.4,5,2,3,6,62.5%,62.5%,.000,2,0,0,2,0,0
ナックルカーブ,12,0.7%,127.1,1,3,2,4,50.0%,20.0%,.500,2,1,0,0,0,0
パワーカーブ,11,0.7%,122.6,0,2,0,3,18.2%,0.0%,.333,6,2,0,0,0,0
スローカーブ,2,0.1%,97.5,0,1,0,0,50.0%,0.0%,.000,1,0,0,0,0,0
ワンシーム,1,0.1%,144.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
