球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,722,47.3%,147.3,22,143,150,258,43.6%,6.9%,.256,164,42,3,17,17,3
スライダー,236,15.5%,129.2,14,58,30,89,43.2%,15.7%,.200,55,11,1,12,2,3
フォーク,152,10.0%,136.1,15,16,31,55,40.8%,18.5%,.214,42,9,1,7,1,0
カットボール,119,7.8%,136.7,6,25,24,41,46.2%,11.3%,.231,26,6,0,3,2,1
チェンジアップ,74,4.8%,132.9,7,9,9,33,33.8%,21.9%,.316,19,6,0,3,0,0
カーブ,60,3.9%,118.4,2,19,8,21,48.3%,10.0%,.154,13,2,1,3,0,1
スプリット,58,3.8%,140.0,5,5,14,22,41.4%,16.1%,.308,13,4,0,1,2,0
ツーシーム,33,2.2%,142.9,3,4,6,13,39.4%,18.8%,.143,7,1,0,0,1,0
シンカー,22,1.4%,128.7,1,2,4,10,31.8%,10.0%,.000,6,0,0,1,0,0
シュート,19,1.2%,138.2,0,4,3,10,36.8%,0.0%,.500,2,1,0,0,0,1
ナックルカーブ,12,0.8%,125.7,0,3,3,6,50.0%,0.0%,-,0,0,0,0,0,0
縦スライダー,7,0.5%,130.0,1,1,2,3,57.1%,33.3%,-,0,0,0,0,0,0
高速スライダー,6,0.4%,137.8,1,0,1,4,33.3%,50.0%,.000,1,0,0,1,0,0
パワーカーブ,5,0.3%,125.3,0,0,1,3,20.0%,0.0%,.000,1,0,0,0,0,0
スローカーブ,1,0.1%,98.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
