球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.105,11,21,19,1,2,0,0,0,2,2,7,2,0,0,0,0,0,0,0,.190,.105,0.296
エスコンＦ,.000,1,4,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,.250,.000,0.25
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.333,3,7,6,1,2,1,0,0,3,0,3,1,0,0,0,0,0,0,0,.429,.500,0.929
京セラD大阪,.500,4,8,8,0,4,0,0,0,4,3,4,0,0,0,0,0,0,0,0,.500,.500,1.0
ベルーナドーム,.000,2,3,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,.333,.000,0.333
Pa その他,.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.500,1,3,2,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,.667,1.000,1.667
神宮,.333,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.333,.333,0.667
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
