球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
みずほPayPay,2.11,13,13,0,7,2,0,0,0,0,0,0,81.0,55,8,72,20,2,22,19,0.93,0.193,5.96,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,3.75,2,2,0,1,1,0,0,0,0,0,0,12.0,11,2,10,4,0,6,5,1.25,0.229,1.93,-
楽天モバイル,3.55,2,2,0,1,1,0,0,0,0,0,0,12.2,16,0,9,0,1,7,5,1.26,0.308,2.57,-
京セラD大阪,0.60,2,2,0,1,0,0,0,0,0,0,0,15.0,6,0,10,3,1,1,1,0.6,0.12,3.71,-
ベルーナドーム,1.50,1,1,0,1,0,0,0,0,0,0,0,6.0,4,0,5,3,0,3,1,1.17,0.2,6.43,-
Pa その他,20.25,1,1,0,0,1,0,0,0,0,0,0,4.0,9,1,3,1,0,9,9,2.5,0.429,11.25,-
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,5.40,1,1,0,0,1,0,0,0,0,0,0,5.0,6,0,2,3,1,3,3,1.8,0.316,0.00,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,1.00,1,1,0,1,0,0,0,0,0,0,0,9.0,6,1,4,2,0,1,1,0.89,0.188,8.00,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
