球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,844,49.1%,147.6,37,207,173,284,49.4%,10.5%,.307,176,54,2,35,17,5
スライダー,237,13.8%,129.4,29,35,37,99,42.6%,28.2%,.250,52,13,0,15,4,0
フォーク,145,8.4%,136.8,20,9,23,60,35.9%,26.3%,.222,45,10,0,12,4,0
カットボール,137,8.0%,137.3,5,20,41,42,48.2%,6.7%,.241,29,7,1,2,2,0
ツーシーム,85,4.9%,144.6,5,21,16,30,49.4%,14.7%,.188,16,3,0,3,4,0
カーブ,72,4.2%,115.6,2,18,9,33,40.3%,9.5%,.200,10,2,0,0,0,0
チェンジアップ,69,4.0%,130.7,7,7,4,33,26.1%,24.1%,.400,20,8,0,2,0,0
スプリット,51,3.0%,140.5,9,6,13,8,54.9%,24.3%,.278,18,5,0,3,0,0
シンカー,20,1.2%,133.2,0,7,5,3,60.0%,0.0%,.600,5,3,0,0,1,0
シュート,20,1.2%,141.2,2,3,5,6,50.0%,18.2%,.000,4,0,0,0,1,0
ナックルカーブ,19,1.1%,126.4,0,10,4,3,73.7%,0.0%,.333,3,1,0,1,0,0
パワーカーブ,9,0.5%,122.9,0,2,0,4,22.2%,0.0%,.667,3,2,0,0,1,0
縦スライダー,5,0.3%,132.6,0,0,0,4,0.0%,0.0%,1.000,1,1,0,0,1,0
スローカーブ,2,0.1%,87.5,0,1,0,0,50.0%,0.0%,.000,1,0,0,0,0,0
ワンシーム,2,0.1%,144.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
ナックル,1,0.1%,-,0,0,0,0,0.0%,0.0%,1.000,1,1,0,0,0,0
