条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.250,41,40,10,2,0,2,0,1,0,0,0,0.268
1-0より,.542,25,24,13,2,1,0,0,0,0,1,0,0.542
2-0より,.667,4,3,2,0,0,2,0,0,1,0,0,0.75
3-0より,-,5,0,0,0,0,0,0,5,0,0,0,1.0
0-1より,.409,24,22,9,1,1,0,0,0,0,0,2,0.375
1-1より,.318,23,22,7,1,0,0,0,0,0,0,1,0.304
2-1より,.250,16,16,4,1,0,0,0,0,0,0,0,0.25
3-1より,.143,19,7,1,0,0,0,0,12,0,0,0,0.684
0-2より,.278,18,18,5,1,0,0,7,0,0,0,0,0.278
1-2より,.200,41,40,8,2,0,1,21,0,0,0,1,0.195
2-2より,.132,54,53,7,2,0,1,22,0,1,0,0,0.148
3-2より,.250,62,40,10,0,0,2,17,22,0,0,0,0.516
