球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
みずほPayPay,1.02,3,3,0,1,1,0,0,0,0,0,0,17.2,15,1,11,2,0,2,2,0.96,0.227,6.35,-
エスコンＦ,1.50,1,1,0,0,0,0,0,0,0,0,0,6.0,7,0,3,0,1,3,1,1.17,0.304,2.57,-
ZOZOマリン,3.00,1,1,0,1,0,0,0,0,0,0,0,6.0,7,1,2,1,1,2,2,1.33,0.28,11.57,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,3.48,2,2,0,1,0,0,0,0,0,0,0,10.1,12,1,4,2,0,5,4,1.35,0.3,5.25,-
ベルーナドーム,2.18,4,4,0,2,1,0,0,0,0,0,0,20.2,19,3,12,4,0,5,5,1.11,0.257,3.00,-
Pa その他,0.00,1,1,0,1,0,0,0,0,0,0,0,5.0,3,0,4,1,0,0,0,0.8,0.188,4.50,-
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
