守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,.600,1,5,5,2,3,0,0,1,6,2,1,0,0,0,0,0,0,0,0,.600,1.200,1.8
二塁手,.157,15,53,51,3,8,1,0,0,9,0,19,1,0,0,1,0,0,0,3,.173,.176,0.35
三塁手,.286,9,35,28,1,8,1,0,0,9,5,7,6,0,0,0,1,1,0,1,.400,.321,0.721
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.000,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.000,.000,0.0
