守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,.214,11,33,28,5,6,2,0,1,11,2,9,4,0,1,0,0,0,0,0,.333,.393,0.726
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
中堅手,.364,3,11,11,1,4,1,0,1,8,1,2,0,0,0,0,0,0,0,1,.364,.727,1.091
右翼手,.333,3,12,12,2,4,2,0,0,6,0,4,0,0,0,0,0,0,0,0,.333,.500,0.833
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.238,31,23,21,4,5,2,0,1,10,1,5,2,0,0,0,0,0,0,0,.304,.476,0.781
