球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.300,12,35,30,3,9,1,0,0,10,3,6,1,0,4,0,0,0,0,0,.400,.333,0.733
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.182,4,11,11,0,2,1,0,0,3,0,5,0,0,0,0,0,0,0,0,.182,.273,0.455
京セラD大阪,.000,2,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.000,.000,0.0
ベルーナドーム,.000,2,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,.200,3,5,5,1,1,1,0,0,2,1,2,0,0,0,0,0,0,0,1,.200,.400,0.6
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,1.000,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,2.000,3.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
