球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.195,48,125,113,12,22,6,2,0,32,9,34,2,0,1,9,0,0,0,1,.216,.283,0.499
エスコンＦ,.200,10,23,20,2,4,3,0,0,7,3,9,1,0,0,2,0,0,0,0,.238,.350,0.588
ZOZOマリン,.269,9,28,26,2,7,0,0,0,7,0,5,0,0,0,2,0,0,0,0,.269,.269,0.538
楽天モバイル,.286,9,18,14,1,4,0,0,0,4,0,2,2,0,0,2,0,0,0,0,.375,.286,0.661
京セラD大阪,.233,10,34,30,5,7,0,0,0,7,4,12,1,0,0,3,0,0,0,0,.258,.233,0.491
ベルーナドーム,.269,12,30,26,1,7,1,0,0,8,4,8,1,0,0,3,0,0,0,0,.296,.308,0.604
Pa その他,.333,2,6,3,1,1,1,0,0,2,1,0,2,0,0,1,0,0,0,0,.600,.667,1.267
東京ドーム,1.000,1,3,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1.000,1.000,2.0
甲子園,.000,2,7,6,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,.143,.000,0.143
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.333,1,3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333,.333,0.667
神宮,.000,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
