球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,456,44.2%,146.6,49,100,104,110,55.5%,19.9%,.265,117,31,0,39,6,0
スライダー,143,13.9%,129.2,18,28,30,46,53.1%,26.1%,.207,29,6,0,10,0,0
カットボール,110,10.7%,138.0,19,31,15,26,59.1%,35.8%,.214,28,6,0,9,0,0
フォーク,83,8.1%,135.4,10,12,9,40,37.3%,32.3%,.059,17,1,0,6,2,0
ツーシーム,74,7.2%,142.3,8,9,20,20,50.0%,17.8%,.176,17,3,0,2,1,0
チェンジアップ,50,4.8%,127.4,5,6,5,17,32.0%,18.5%,.176,17,3,0,3,0,0
スプリット,37,3.6%,137.4,8,7,2,16,45.9%,57.1%,.000,6,0,0,2,0,0
カーブ,35,3.4%,116.3,2,7,3,20,34.3%,25.0%,.667,3,2,0,0,0,0
縦スライダー,12,1.2%,132.7,1,2,2,3,41.7%,14.3%,.250,4,1,0,1,0,0
ナックルカーブ,12,1.2%,125.6,3,4,1,3,66.7%,60.0%,.200,5,1,0,4,0,0
シュート,11,1.1%,142.9,0,1,2,6,27.3%,0.0%,.000,2,0,0,0,0,1
シンカー,6,0.6%,131.8,0,1,1,3,33.3%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,1,0.1%,123.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
ナックル,1,0.1%,102.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
